dep_date,airline,dep_time,duration,stops,arr_time,price,source,destination,dateofbooking
"14 Mar, Mon",Air India,  16:45,15h 5m,1 stop - BLR,  07:50,"₹10,983","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",IndiGo,  08:45,8h 40m,1 stop - NAG,  17:25,"₹11,928","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  21:00,23h 55m,1 stop - BLR,  20:55,"₹12,033","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Air Asia,  04:45,14h 30m,1 stop - GOI,  19:15,"₹12,557","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  21:00,12h 5m,1 stop - BLR,  09:05,"₹12,768","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",IndiGo,  21:50,3h 25m,1 stop - GOI,  01:15,"₹13,031","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  21:00,23h 55m,1 stop - BLR,  20:55,"₹13,031","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  22:45,13h 50m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  21:55,14h 40m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  20:55,15h 40m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  19:45,16h 50m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  18:30,18h 5m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  17:35,19h,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  15:45,20h 50m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  22:45,21h 10m,1 stop - DEL,  19:55,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  14:40,21h 55m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  21:55,22h,1 stop - DEL,  19:55,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  20:55,23h,1 stop - DEL,  19:55,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  12:25,1d 10m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  19:45,1d 10m,1 stop - DEL,  19:55,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
"14 Mar, Mon",Vistara,  11:55,1d 40m,1 stop - DEL,  12:35,"₹13,093","Mumbai, BOM - Chatrapati Shivaji Airport, India","Hyderabad, HYD - Rajiv Gandhi International, India",13/03/2022
