dep_date,airline,station,time,duration,stops,price,source,destination,dateofbooking
"Wed, 30 Mar",FlexFlight,CCU - BOM,18:30 - 21:20, 2h 50m ,Non-stop,"₹ 5,981",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",SpiceJet,CCU - BOM,22:30 - 01:20, 2h 50m ,Non-stop,"₹ 6,664",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,19:05 - 21:40, 2h 35m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,04:00 - 06:40, 2h 40m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",FlexFlight,CCU - BOM,04:55 - 07:45, 2h 50m ,Non-stop,"₹ 5,981",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",SpiceJet,CCU - BOM,09:35 - 12:20, 2h 45m ,Non-stop,"₹ 6,664",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Go First,CCU - BOM,18:30 - 21:20, 2h 50m ,Non-stop,"₹ 6,683",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Go First,CCU - BOM,04:55 - 07:45, 2h 50m ,Non-stop,"₹ 6,683",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,08:15 - 10:55, 2h 40m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,09:45 - 12:25, 2h 40m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,15:40 - 18:20, 2h 40m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,17:40 - 20:20, 2h 40m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,06:05 - 08:45, 2h 40m ,Non-stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Vistara,CCU - BOM,10:25 - 13:00, 2h 35m ,Non-stop,"₹ 7,455",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Air India,CCU - BOM,09:25 - 12:20, 2h 55m ,Non-stop,"₹ 7,122",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Vistara,CCU - BOM,17:35 - 20:20, 2h 45m ,Non-stop,"₹ 7,455",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Vistara,CCU - BOM,20:35 - 23:30, 2h 55m ,Non-stop,"₹ 7,297",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Air India,CCU - BOM,16:55 - 20:15, 3h 20m ,Non-stop,"₹ 7,606",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,18:00 - 23:10, 5h 10m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,14:00 - 19:15, 5h 15m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",AirAsia (India),CCU - BOM,15:25 - 20:40, 5h 15m ,1 stop,"₹ 7,384",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,10:45 - 16:15, 5h 30m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,12:50 - 19:10, 6h 20m ,1 stop,"₹ 6,738",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,08:55 - 14:45, 5h 50m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,05:55 - 12:10, 6h 15m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,14:30 - 20:55, 6h 25m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,15:00 - 21:25, 6h 25m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",IndiGo,CCU - BOM,23:10 - 05:40, 6h 30m ,1 stop,"₹ 7,334",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",AirAsia (India),CCU - BOM,23:35 - 06:35, 7h ,1 stop,"₹ 7,384",Kolkata - CCU,Mumbai - BOM,15/03/2022
"Wed, 30 Mar",Go First,CCU - BOM,16:40 - 21:10, 4h 30m ,1 stop,"₹ 10,415",Kolkata - CCU,Mumbai - BOM,15/03/2022
