dep_date,airline,station,time,duration,stops,price,dateofbooking
30/03/2022,Go First,CCU - BLR,14:20 - 21:35, 7h 15m ,1 stop,"₹ 11,570",15/03/2022
30/03/2022,Vistara,CCU - BLR,10:15 - 17:05, 6h 50m ,1 stop,"₹ 12,150",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,23:35 - 10:40, 11h 5m ,1 stop,"₹ 6,384",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,06:10 - 08:25, 2h 15m ,Non-stop,"₹ 18,567",15/03/2022
30/03/2022,Vistara,CCU - BLR,15:20 - 22:40, 7h 20m ,1 stop,"₹ 11,653",15/03/2022
30/03/2022,IndiGo,CCU - BLR,09:40 - 18:55, 9h 15m ,1 stop,"₹ 9,344",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,13:15 - 20:40, 7h 25m ,2 stops,"₹ 11,875",15/03/2022
30/03/2022,~Z,CCU - BLR,14:20 - 21:35, 7h 15m ,1 stop,"₹ 12,404",15/03/2022
30/03/2022,Vistara,CCU - BLR,15:20 - 23:20, 8h ,1 stop,"₹ 11,600",15/03/2022
30/03/2022,Go First,CCU - BLR,06:10 - 14:25, 8h 15m ,1 stop,"₹ 11,570",15/03/2022
30/03/2022,Air India,CCU - BLR,09:25 - 18:20, 8h 55m ,1 stop,"₹ 11,679",15/03/2022
30/03/2022,Go First,CCU - BLR,08:40 - 19:20, 10h 40m ,1 stop,"₹ 9,551",15/03/2022
30/03/2022,Air India,CCU - BLR,15:30 - 00:05, 8h 35m ,1 stop,"₹ 12,414",15/03/2022
30/03/2022,SpiceJet,CCU - BLR,21:25 - 09:00, 11h 35m ,1 stop,"₹ 8,489",15/03/2022
30/03/2022,Go First,CCU - BLR,22:30 - 09:35, 11h 5m ,1 stop,"₹ 9,551",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,07:40 - 21:40, 14h ,1 stop,"₹ 5,674",15/03/2022
30/03/2022,FlexFlight,CCU - BLR,12:10 - 21:15, 9h 5m ,1 stop,"₹ 12,628",15/03/2022
30/03/2022,FlexFlight,CCU - BLR,04:55 - 16:30, 11h 35m ,1 stop,"₹ 9,574",15/03/2022
30/03/2022,Air India,CCU - BLR,06:50 - 16:15, 9h 25m ,1 stop,"₹ 12,934",15/03/2022
30/03/2022,Air India,CCU - BLR,10:30 - 20:15, 9h 45m ,1 stop,"₹ 12,669",15/03/2022
30/03/2022,Vistara,CCU - BLR,07:10 - 17:05, 9h 55m ,1 stop,"₹ 12,645",15/03/2022
30/03/2022,Vistara,CCU - BLR,20:35 - 07:50, 11h 15m ,1 stop,"₹ 10,886",15/03/2022
30/03/2022,Go First,CCU - BLR,04:55 - 16:30, 11h 35m ,1 stop,"₹ 10,906",15/03/2022
30/03/2022,Air India,CCU - BLR,15:30 - 00:20, 8h 50m ,2 stops,"₹ 14,999",15/03/2022
30/03/2022,Vistara,CCU - BLR,10:15 - 19:30, 9h 15m ,2 stops,"₹ 14,713",15/03/2022
30/03/2022,Vistara,CCU - BLR,07:10 - 18:50, 11h 40m ,1 stop,"₹ 11,653",15/03/2022
30/03/2022,Vistara,CCU - BLR,10:15 - 19:15, 9h ,2 stops,"₹ 15,758",15/03/2022
30/03/2022,Vistara,CCU - BLR,20:20 - 09:00, 12h 40m ,1 stop,"₹ 11,600",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,04:45 - 17:00, 12h 15m ,2 stops,"₹ 12,421",15/03/2022
30/03/2022,Air India,CCU - BLR,20:15 - 08:55, 12h 40m ,1 stop,"₹ 12,983",15/03/2022
30/03/2022,Air India,CCU - BLR,07:55 - 20:15, 12h 20m ,2 stops,"₹ 13,610",15/03/2022
30/03/2022,Vistara,CCU - BLR,07:10 - 16:00, 8h 50m ,2 stops,"₹ 18,637",15/03/2022
30/03/2022,Air India,CCU - BLR,06:50 - 20:15, 13h 25m ,1 stop,"₹ 12,414",15/03/2022
30/03/2022,Vistara,CCU - BLR,07:10 - 17:45, 10h 35m ,2 stops,"₹ 17,601",15/03/2022
30/03/2022,Air India,CCU - BLR,19:00 - 07:50, 12h 50m ,2 stops,"₹ 14,798",15/03/2022
30/03/2022,Air India,CCU - BLR,16:55 - 07:50, 14h 55m ,1 stop,"₹ 12,346",15/03/2022
30/03/2022,SpiceJet,CCU - BLR,15:35 - 09:00, 17h 25m ,1 stop,"₹ 9,089",15/03/2022
30/03/2022,Vistara,CCU - BLR,07:10 - 23:20, 16h 10m ,1 stop,"₹ 11,640",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,07:40 - 21:40, 14h ,3 stops,"₹ 15,939",15/03/2022
30/03/2022,Air India,CCU - BLR,19:00 - 11:40, 16h 40m ,2 stops,"₹ 12,880",15/03/2022
30/03/2022,Vistara,CCU - BLR,10:25 - 22:40, 12h 15m ,2 stops,"₹ 19,013",15/03/2022
30/03/2022,Air India,CCU - BLR,09:25 - 00:05, 14h 40m ,2 stops,"₹ 16,004",15/03/2022
30/03/2022,Air India,CCU - BLR,09:25 - 00:05, 14h 40m ,3 stops,"₹ 16,004",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,07:40 - 16:30, 8h 50m ,2 stops,"₹ 25,414",15/03/2022
30/03/2022,Air India,CCU - BLR,11:35 - 07:50, 22h 45m ,3 stops,"₹ 9,839",15/03/2022
30/03/2022,Air India,CCU - BLR,10:30 - 22:15, 11h 45m ,2 stops,"₹ 25,006",15/03/2022
30/03/2022,Air India,CCU - BLR,06:50 - 00:20, 17h 30m ,3 stops,"₹ 17,798",15/03/2022
30/03/2022,Air India,CCU - BLR,20:15 - 17:55, 21h 40m ,3 stops,"₹ 14,856",15/03/2022
30/03/2022,Vistara,CCU - BLR,17:35 - 09:00, 15h 25m ,2 stops,"₹ 24,414",15/03/2022
30/03/2022,Air India,CCU - BLR,06:50 - 22:15, 15h 25m ,2 stops,"₹ 25,005",15/03/2022
30/03/2022,Air India,CCU - BLR,19:00 - 22:15+1, 27h 15m ,1 stop,"₹ 10,221",15/03/2022
30/03/2022,Vistara,CCU - BLR,20:35 - 18:15, 21h 40m ,2 stops,"₹ 18,825",15/03/2022
30/03/2022,Vistara,CCU - BLR,15:20 - 16:00+1, 24h 40m ,2 stops,"₹ 15,643",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,21:25 - 09:00, 11h 35m ,1 stop,"₹ 33,538",15/03/2022
30/03/2022,Alaska Seaplane,CCU - BLR,15:20 - 00:05, 8h 45m ,1 stop,"₹ 38,209",15/03/2022
30/03/2022,Air India,CCU - BLR,20:15 - 21:55+1, 25h 40m ,2 stops,"₹ 15,224",15/03/2022
30/03/2022,Emirates,CCU - BLR,20:45 - 08:55, 12h 10m ,1 stop,"₹ 33,679",15/03/2022
30/03/2022,AirAsia (India),CCU - BLR,07:40 - 02:30, 18h 50m ,2 stops,"₹ 24,994",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,09:35 - 20:35, 11h ,1 stop,"₹ 36,208",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,22:30 - 10:00, 11h 30m ,1 stop,"₹ 36,208",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,15:20 - 00:05, 8h 45m ,1 stop,"₹ 40,210",15/03/2022
30/03/2022,Air India,CCU - BLR,10:30 - 17:55+1, 31h 25m ,3 stops,"₹ 14,279",15/03/2022
30/03/2022,Air India,CCU - BLR,06:50 - 17:55+1, 35h 5m ,3 stops,"₹ 14,756",15/03/2022
30/03/2022,Air India,CCU - BLR,10:30 - 21:55+1, 35h 25m ,2 stops,"₹ 14,646",15/03/2022
30/03/2022,Vistara,CCU - BLR,10:15 - 17:45+1, 31h 30m ,3 stops,"₹ 20,033",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,06:35 - 00:05, 17h 30m ,1 stop,"₹ 39,777",15/03/2022
30/03/2022,Air India,CCU - BLR,06:50 - 21:55+1, 39h 5m ,2 stops,"₹ 15,129",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,14:45 - 12:55, 22h 10m ,1 stop,"₹ 39,359",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,09:35 - 22:30, 12h 55m ,2 stops,"₹ 51,974",15/03/2022
30/03/2022,Singapore Airlines,CCU - BLR,23:50 - 21:50, 22h ,1 stop,"₹ 44,327",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,10:20 - 00:05, 13h 45m ,2 stops,"₹ 60,118",15/03/2022
30/03/2022,Hahn Air Systems,CCU - BLR,22:30 - 00:05+1, 25h 35m ,2 stops,"₹ 57,976",15/03/2022
30/03/2022,Multiple Airlines,CCU - BLR,20:20 - 14:05, 17h 45m ,2 stops,"₹ 122,574",15/03/2022
30/03/2022,Multiple Airlines,CCU - BLR,23:50 - 23:40, 23h 50m ,2 stops,"₹ 188,194",15/03/2022
