dep_date,airline,time,station,duration,stops,price,dateofbooking
16/03/2022,Air India,06:10 - 21:05,MAA - BOM, 14h 55m ,2 stops,"₹ 29,083",15/03/2022
16/03/2022,SriLankan Airlines,09:35 - 20:00,MAA - BOM, 10h 25m ,1 stop,"₹ 40,942",15/03/2022
16/03/2022,Air India,06:10 - 17:50,MAA - BOM, 11h 40m ,2 stops,"₹ 38,886",15/03/2022
16/03/2022,Air India,06:10 - 00:10,MAA - BOM, 18h ,2 stops,"₹ 27,464",15/03/2022
16/03/2022,Air India,08:30 - 20:00,MAA - BOM, 11h 30m ,2 stops,"₹ 40,897",15/03/2022
16/03/2022,Vistara,17:10 - 08:15,MAA - BOM, 15h 5m ,2 stops,"₹ 35,429",15/03/2022
16/03/2022,Air India,08:15 - 23:55,MAA - BOM, 15h 40m ,2 stops,"₹ 37,755",15/03/2022
16/03/2022,Air India,13:20 - 15:55+1,MAA - BOM, 26h 35m ,1 stop,"₹ 24,368",15/03/2022
16/03/2022,Air India,17:00 - 08:35,MAA - BOM, 15h 35m ,2 stops,"₹ 46,002",15/03/2022
16/03/2022,Oman Air,07:20 - 13:10+1,MAA - BOM, 29h 50m ,1 stop,"₹ 34,625",15/03/2022
16/03/2022,Emirates,09:45 - 02:15,MAA - BOM, 16h 30m ,1 stop,"₹ 65,616",15/03/2022
16/03/2022,Vistara,21:05 - 11:25,MAA - BOM, 14h 20m ,2 stops,"₹ 72,718",15/03/2022
